image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
PXL_20260520_074609846.jpg,PXL_20260520_074611088.jpg,2803,3063,2803,1415,1256,0.8876325088339223,3.5705009576469426,0.3671386470623522,0.3573530069930972,0.32282359540434014,0.9927127471616842,"[[-9.589503758707079e-07, -3.6422753042813475e-06, -0.0095071224874348], [4.568890145690804e-06, -1.0409683182871816e-06, -0.0021021533253340174], [0.009744771294410159, -9.215742940705502e-05, 1.0]]"
PXL_20260520_074611088.jpg,PXL_20260520_074612523.jpg,3063,2746,3063,1154,851,0.7374350086655113,9.277858008962305,0.5775548273413194,0.4391638493117299,0.422223398319542,0.9982699148909161,"[[2.033601282310079e-07, -9.645145456170746e-08, 9.790446406748403e-05], [6.586945436805252e-08, 2.0340727788536438e-07, -0.0006787963463217165], [-0.0007307581391022584, -9.985128007889634e-05, 1.0]]"
PXL_20260520_074605977.jpg,PXL_20260520_074607117.jpg,1912,2258,1912,895,825,0.9217877094972067,1.79682319413331,0.30604197607702244,0.3168622014074315,0.2726318640571371,0.9878063943767268,"[[1.0352262606108272e-06, 4.0315468881607e-06, -0.007233110624049397], [-3.8859260266842464e-06, 1.2026677599271303e-06, -0.0017466021104684914], [0.0065956057683237415, -0.0009307454359870867, 1.0]]"
