image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
PXL_20260519_151517280.MP.jpg,PXL_20260519_151517887.jpg,3097,3111,3097,1286,1078,0.838258164852255,2.902909283930295,0.3535184590096353,0.3246958397552149,0.28898915988916807,0.971628093979986,"[[4.813055103282613e-07, -2.358346547477718e-05, 0.012198063689251758], [2.5261118825227443e-05, 2.8743897599716393e-06, 0.019744011229651255], [-0.01332457815162623, -0.024339730753058248, 1.0]]"
PXL_20260519_151348662.jpg,PXL_20260519_151348666.MP.jpg,2027,2017,2027,1099,1069,0.9727024567788899,0.5950561569049055,0.1341080566377422,0.17729796658973707,0.12931164045570212,0.9398435075861705,"[[4.858161694586501e-07, -8.668353448508588e-05, -0.13438734090656893], [8.645726371223703e-05, -1.313177708424227e-07, -0.1918409419227764], [0.1329689562066091, 0.19229851511732698, 0.9999999999999999]]"
PXL_20260519_151333412.jpg,PXL_20260519_151333953.jpg,2904,2638,2904,1083,923,0.8522622345337026,3.373836629598163,0.37443088174535444,0.3575780655753045,0.30555113882222507,0.9925545863784522,"[[-2.3179012724773414e-06, 0.00010718549177783818, -0.1594988287732702], [-0.0001092579417129947, -6.152363766974235e-07, 0.08656714200227815], [0.1645118129276429, -0.08634577403803004, 1.0]]"
